LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,Default_Payment,Bill_Amount_Total,Pay_Amount_Total,Bill_Amount_Average,Pay_Amount_Average,Repayment_Status_Total,Repayment_Status_Average,Bill_Amount_Total_cluster,Bill_Amount_Average_cluster,Pay_Amount_Total_cluster,Pay_Amount_Average_cluster,Repayment_Status_Total_cluster,Repayment_Status_Average_cluster,AGE_cluster
50000,1,3,2,23,0,214295,7891,35715.833333333336,1315.1666666666667,0,0.0,3,3,0,0,4,4,3
60000,1,1,2,27,1,-394,2500,-65.66666666666667,416.6666666666667,-5,-0.8333333333333334,0,0,0,0,5,1,6
50000,2,3,2,30,0,112268,7112,18711.333333333332,1185.3333333333333,0,0.0,0,0,0,0,4,4,0
50000,2,3,1,47,0,40208,39567,6701.333333333333,6594.5,-6,-1.0,0,0,0,0,5,1,1
50000,1,1,2,26,0,97082,6600,16180.333333333334,1100.0,0,0.0,0,0,0,0,4,4,6
230000,2,1,2,27,0,113746,97489,18957.666666666668,16248.166666666666,-6,-1.0,0,0,2,2,5,1,6
50000,1,2,2,33,1,151869,6934,25311.5,1155.6666666666667,2,0.3333333333333333,0,0,0,0,1,0,8
100000,1,1,2,32,0,495237,18744,82539.5,3124.0,0,0.0,1,1,0,0,4,4,8
500000,2,2,1,54,0,125744,158502,20957.333333333332,26417.0,-12,-2.0,0,0,1,1,0,2,2
500000,1,1,1,58,0,58318,45425,9719.666666666666,7570.833333333333,-12,-2.0,0,0,2,2,0,2,2
160000,1,1,2,30,0,25312,2280,4218.666666666667,380.0,-9,-1.5,0,0,0,0,8,6,0
280000,1,2,1,40,0,1069977,41923,178329.5,6987.166666666667,0,0.0,4,4,2,2,4,4,9
60000,2,2,2,22,0,32279,53349,5379.833333333333,8891.5,-1,-0.16666666666666666,0,0,2,2,4,4,3
50000,1,1,2,25,1,780,780,130.0,130.0,-7,-1.1666666666666667,0,0,0,0,5,1,3
280000,1,1,2,31,0,51643,37357,8607.166666666666,6226.166666666667,-2,-0.3333333333333333,0,0,0,0,2,9,0
360000,1,1,2,33,0,1650751,243840,275125.1666666667,40640.0,0,0.0,2,2,1,1,4,4,8
70000,2,1,2,25,0,392856,19342,65476.0,3223.6666666666665,0,0.0,3,3,0,0,4,4,3
10000,1,2,2,22,0,22761,7227,3793.5,1204.5,0,0.0,0,0,0,0,4,4,3
140000,2,2,1,37,0,385134,20000,64189.0,3333.3333333333335,0,0.0,3,3,0,0,4,4,4
40000,2,1,2,30,0,147185,13000,24530.833333333332,2166.6666666666665,2,0.3333333333333333,0,0,0,0,1,0,0
210000,1,1,2,29,1,0,0,0.0,0.0,-12,-2.0,0,0,0,0,0,2,0
20000,2,1,2,22,1,79328,20075,13221.333333333334,3345.8333333333335,1,0.16666666666666666,0,0,0,0,4,4,3
150000,2,-1,2,46,1,9837,2183,1639.5,363.8333333333333,-3,-0.5,0,0,0,0,2,9,1
380000,1,2,2,32,0,114815,93332,19135.833333333332,15555.333333333334,-6,-1.0,0,0,2,2,5,1,8
20000,1,1,2,24,0,115810,6246,19301.666666666668,1041.0,0,0.0,0,0,0,0,4,4,3
70000,1,3,2,42,1,229012,8100,38168.666666666664,1350.0,9,1.5,3,3,0,0,6,7,9
100000,2,3,-1,43,0,265185,9606,44197.5,1601.0,0,0.0,3,3,0,0,4,4,1
310000,2,2,1,49,0,44125,30668,7354.166666666667,5111.333333333333,-12,-2.0,0,0,0,0,0,2,5
180000,2,1,2,25,0,259151,10246,43191.833333333336,1707.6666666666667,3,0.5,3,3,0,0,1,0,3
150000,2,1,2,29,0,176751,12867,29458.5,2144.5,2,0.3333333333333333,3,3,0,0,1,0,0
500000,2,1,1,45,0,8388,6483,1398.0,1080.5,-12,-2.0,0,0,0,0,0,2,1
180000,2,3,1,34,0,55404,29179,9234.0,4863.166666666667,-3,-0.5,0,0,0,0,2,9,8
180000,2,2,1,34,0,952362,34062,158727.0,5677.0,0,0.0,4,4,0,0,4,4,8
200000,2,1,2,34,0,6747,1900,1124.5,316.6666666666667,10,1.6666666666666667,0,0,0,0,3,3,8
400000,2,2,1,29,0,2284140,109029,380690.0,18171.5,0,0.0,2,2,2,2,4,4,0
500000,2,3,1,28,1,109699,8816,18283.166666666668,1469.3333333333333,0,0.0,0,0,0,0,4,4,6
70000,1,2,1,39,0,244242,12120,40707.0,2020.0,-1,-0.16666666666666666,3,3,0,0,4,4,9
50000,1,1,2,29,1,157674,6125,26279.0,1020.8333333333334,12,2.0,0,0,0,0,3,3,0
50000,2,2,1,46,1,57884,1000,9647.333333333334,166.66666666666666,-6,-1.0,0,0,0,0,5,1,1
130000,2,2,1,51,0,2452,2353,408.6666666666667,392.1666666666667,-8,-1.3333333333333333,0,0,0,0,8,6,5
200000,1,1,1,57,1,469636,9522,78272.66666666667,1587.0,-3,-0.5,1,1,0,0,2,9,2
10000,1,2,1,56,1,22852,3010,3808.6666666666665,501.6666666666667,6,1.0,0,0,0,0,6,7,2
210000,2,1,2,30,0,8589,9198,1431.5,1533.0,-3,-0.5,0,0,0,0,2,9,0
130000,2,3,2,29,0,7901,41379,1316.8333333333333,6896.5,-3,-0.5,0,0,2,2,2,9,0
20000,1,-1,2,22,0,88326,3700,14721.0,616.6666666666666,2,0.3333333333333333,0,0,0,0,1,0,3
80000,1,1,2,31,0,2340,1950,390.0,325.0,-6,-1.0,0,0,0,0,5,1,0
320000,1,2,2,29,1,362152,13800,60358.666666666664,2300.0,12,2.0,3,3,0,0,3,3,0
200000,2,2,1,32,0,26425,19512,4404.166666666667,3252.0,-3,-0.5,0,0,0,0,2,9,8
290000,2,1,2,37,0,5514,5514,919.0,919.0,-5,-0.8333333333333334,0,0,0,0,5,1,4
340000,1,1,2,32,0,142199,141997,23699.833333333332,23666.166666666668,-6,-1.0,0,0,1,1,5,1,8
20000,1,2,2,24,0,101328,5590,16888.0,931.6666666666666,2,0.3333333333333333,0,0,0,0,1,0,3
50000,1,3,2,25,0,145406,6358,24234.333333333332,1059.6666666666667,-1,-0.16666666666666666,0,0,0,0,4,4,3
300000,2,1,1,45,0,1746,1746,291.0,291.0,-6,-1.0,0,0,0,0,5,1,1
30000,2,2,2,22,1,149186,8411,24864.333333333332,1401.8333333333333,0,0.0,0,0,0,0,4,4,3
240000,2,2,2,44,1,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,1
470000,2,3,-1,33,0,614823,21926,102470.5,3654.3333333333335,0,0.0,1,1,0,0,4,4,8
360000,2,1,2,26,0,294903,161355,49150.5,26892.5,-1,-0.16666666666666666,3,3,1,1,4,4,6
60000,1,3,2,30,1,143566,5345,23927.666666666668,890.8333333333334,0,0.0,0,0,0,0,4,4,0
400000,2,2,1,44,0,700952,22753,116825.33333333333,3792.1666666666665,2,0.3333333333333333,1,1,0,0,1,0,1
50000,2,3,2,49,0,177499,6052,29583.166666666668,1008.6666666666666,0,0.0,3,3,0,0,4,4,5
160000,1,2,2,33,0,667013,101747,111168.83333333333,16957.833333333332,0,0.0,1,1,2,2,4,4,8
360000,2,1,1,45,1,3510,2340,585.0,390.0,-2,-0.3333333333333333,0,0,0,0,2,9,1
160000,2,2,2,32,0,31623,8216,5270.5,1369.3333333333333,-1,-0.16666666666666666,0,0,0,0,4,4,8
130000,2,1,1,35,0,226534,56705,37755.666666666664,9450.833333333334,-3,-0.5,3,3,2,2,2,9,8
20000,1,3,2,44,0,61309,6151,10218.166666666666,1025.1666666666667,6,1.0,0,0,0,0,6,7,1
200000,1,1,1,53,1,862167,32800,143694.5,5466.666666666667,12,2.0,1,1,0,0,3,3,2
280000,2,1,2,39,0,15360,3968,2560.0,661.3333333333334,-5,-0.8333333333333334,0,0,0,0,5,1,9
100000,2,1,2,27,0,3555,7555,592.5,1259.1666666666667,-12,-2.0,0,0,0,0,0,2,6
160000,2,2,1,37,0,4162,11018,693.6666666666666,1836.3333333333333,-7,-1.1666666666666667,0,0,0,0,5,1,4
60000,2,2,2,23,0,197839,6261,32973.166666666664,1043.5,0,0.0,3,3,0,0,4,4,3
90000,1,2,2,35,0,354716,11756,59119.333333333336,1959.3333333333333,0,0.0,3,3,0,0,4,4,8
360000,1,1,1,43,0,58460,120613,9743.333333333334,20102.166666666668,-5,-0.8333333333333334,0,0,2,2,5,1,1
150000,1,1,2,27,0,479411,23841,79901.83333333333,3973.5,0,0.0,1,1,0,0,4,4,6
50000,2,3,1,22,0,83794,3783,13965.666666666666,630.5,0,0.0,0,0,0,0,4,4,3
20000,1,2,1,38,1,93217,5685,15536.166666666666,947.5,-1,-0.16666666666666666,0,0,0,0,4,4,4
140000,1,1,2,32,0,13679,13007,2279.8333333333335,2167.8333333333335,-12,-2.0,0,0,0,0,0,2,8
380000,2,1,2,30,0,132602,42019,22100.333333333332,7003.166666666667,-5,-0.8333333333333334,0,0,2,2,5,1,0
480000,1,1,1,63,0,2761015,130971,460169.1666666667,21828.5,4,0.6666666666666666,2,2,1,1,1,0,7
50000,2,3,2,22,1,205366,6870,34227.666666666664,1145.0,0,0.0,3,3,0,0,4,4,3
60000,2,2,2,26,0,342038,13517,57006.333333333336,2252.8333333333335,10,1.6666666666666667,3,3,0,0,3,3,6
70000,2,2,2,24,0,32109,28529,5351.5,4754.833333333333,-9,-1.5,0,0,0,0,8,6,3
80000,2,2,1,36,0,17865,12794,2977.5,2132.3333333333335,-6,-1.0,0,0,0,0,5,1,4
350000,1,1,2,52,0,10987,15285,1831.1666666666667,2547.5,-6,-1.0,0,0,0,0,5,1,5
130000,1,2,2,38,0,680938,287768,113489.66666666667,47961.333333333336,-3,-0.5,1,1,1,1,2,9,4
360000,1,2,1,35,0,-618,0,-103.0,0.0,-9,-1.5,0,0,0,0,8,6,8
330000,2,1,1,31,0,639580,32747,106596.66666666667,5457.833333333333,2,0.3333333333333333,1,1,0,0,1,0,0
50000,1,3,1,47,0,93139,7000,15523.166666666666,1166.6666666666667,2,0.3333333333333333,0,0,0,0,1,0,1
280000,1,2,1,41,0,855008,40604,142501.33333333334,6767.333333333333,13,2.1666666666666665,1,1,2,2,3,3,9
100000,2,1,2,24,0,335186,17866,55864.333333333336,2977.6666666666665,0,0.0,3,3,0,0,4,4,3
50000,1,2,2,41,0,119110,5471,19851.666666666668,911.8333333333334,0,0.0,0,0,0,0,4,4,9
30000,1,1,2,24,1,117660,6312,19610.0,1052.0,6,1.0,0,0,0,0,6,7,3
240000,1,1,2,28,0,7456,7656,1242.6666666666667,1276.0,-6,-1.0,0,0,0,0,5,1,6
80000,1,2,2,26,1,99022,7700,16503.666666666668,1283.3333333333333,2,0.3333333333333333,0,0,0,0,1,0,6
400000,1,2,1,34,0,71828,57891,11971.333333333334,9648.5,-6,-1.0,0,0,2,2,5,1,8
240000,2,2,2,38,0,209703,11073,34950.5,1845.5,-2,-0.3333333333333333,3,3,0,0,2,9,4
50000,1,3,2,37,1,290245,10235,48374.166666666664,1705.8333333333333,13,2.1666666666666665,3,3,0,0,3,3,4
450000,1,1,1,40,1,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,9
110000,2,1,1,48,0,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,5
310000,2,2,1,35,1,1626538,53973,271089.6666666667,8995.5,2,0.3333333333333333,2,2,2,2,1,0,8
20000,1,1,2,27,0,112100,4308,18683.333333333332,718.0,0,0.0,0,0,0,0,4,4,6
20000,1,2,2,23,0,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,3
200000,1,3,2,52,0,617685,22056,102947.5,3676.0,0,0.0,1,1,0,0,4,4,5
180000,1,1,1,36,1,668882,14771,111480.33333333333,2461.8333333333335,0,0.0,1,1,0,0,4,4,4
50000,1,2,1,51,1,30548,6200,5091.333333333333,1033.3333333333333,0,0.0,0,0,0,0,4,4,5
60000,1,3,1,55,0,264125,7511,44020.833333333336,1251.8333333333333,7,1.1666666666666667,3,3,0,0,6,7,2
30000,2,1,2,23,0,32776,31886,5462.666666666667,5314.333333333333,-7,-1.1666666666666667,0,0,0,0,5,1,3
240000,1,1,2,41,0,11279,8944,1879.8333333333333,1490.6666666666667,-2,-0.3333333333333333,0,0,0,0,2,9,9
420000,1,2,1,34,0,1349911,53309,224985.16666666666,8884.833333333334,0,0.0,4,4,2,2,4,4,8
330000,1,3,1,46,0,1369317,49096,228219.5,8182.666666666667,0,0.0,4,4,2,2,4,4,1
30000,2,2,2,22,0,123482,5460,20580.333333333332,910.0,0,0.0,0,0,0,0,4,4,3
240000,1,2,1,34,0,77708,4627,12951.333333333334,771.1666666666666,6,1.0,0,0,0,0,6,7,8
150000,1,1,2,27,0,140829,20000,23471.5,3333.3333333333335,0,0.0,0,0,0,0,4,4,6
210000,2,2,1,33,0,43256,7046,7209.333333333333,1174.3333333333333,0,0.0,0,0,0,0,4,4,8
50000,2,3,1,51,1,6932,6180,1155.3333333333333,1030.0,-8,-1.3333333333333333,0,0,0,0,8,6,5
50000,1,1,2,24,0,208330,8960,34721.666666666664,1493.3333333333333,0,0.0,3,3,0,0,4,4,3
240000,1,1,2,47,1,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,1
180000,1,2,2,28,0,3828,5580,638.0,930.0,-6,-1.0,0,0,0,0,5,1,6
50000,1,2,2,23,0,99487,13500,16581.166666666668,2250.0,7,1.1666666666666667,0,0,0,0,6,7,3
170000,1,2,2,29,0,67988,65846,11331.333333333334,10974.333333333334,-12,-2.0,0,0,2,2,0,2,0
20000,1,1,2,29,0,26510,23641,4418.333333333333,3940.1666666666665,-5,-0.8333333333333334,0,0,0,0,5,1,0
50000,1,1,2,28,0,48184,7183,8030.666666666667,1197.1666666666667,3,0.5,0,0,0,0,1,0,6
170000,2,2,2,27,1,105012,3752,17502.0,625.3333333333334,0,0.0,0,0,0,0,4,4,6
200000,1,1,2,34,0,794273,87000,132378.83333333334,14500.0,3,0.5,1,1,2,2,1,0,8
80000,2,2,1,23,0,61950,4121,10325.0,686.8333333333334,8,1.3333333333333333,0,0,0,0,6,7,3
260000,2,1,1,60,0,21038,24469,3506.3333333333335,4078.1666666666665,-5,-0.8333333333333334,0,0,0,0,5,1,7
140000,1,2,1,32,0,411323,16267,68553.83333333333,2711.1666666666665,2,0.3333333333333333,3,3,0,0,1,0,8
80000,1,1,2,25,0,256528,63000,42754.666666666664,10500.0,0,0.0,3,3,2,2,4,4,3
350000,1,1,2,41,0,4744,4536,790.6666666666666,756.0,-5,-0.8333333333333334,0,0,0,0,5,1,9
280000,2,2,1,56,0,971621,133200,161936.83333333334,22200.0,0,0.0,4,4,1,1,4,4,2
30000,2,3,2,26,0,70072,8700,11678.666666666666,1450.0,0,0.0,0,0,0,0,4,4,6
140000,1,1,1,34,0,222980,35389,37163.333333333336,5898.166666666667,0,0.0,3,3,0,0,4,4,8
200000,2,1,2,37,0,575407,22560,95901.16666666667,3760.0,0,0.0,1,1,0,0,4,4,4
200000,2,3,2,30,0,1018160,37788,169693.33333333334,6298.0,0,0.0,4,4,0,0,4,4,0
210000,1,3,1,45,1,805451,65268,134241.83333333334,10878.0,24,4.0,1,1,2,2,7,5,1
50000,1,3,1,57,0,79884,3800,13314.0,633.3333333333334,5,0.8333333333333334,0,0,0,0,6,7,2
30000,1,1,2,41,0,162596,8150,27099.333333333332,1358.3333333333333,10,1.6666666666666667,0,0,0,0,3,3,9
50000,1,2,2,27,0,3396,2640,566.0,440.0,0,0.0,0,0,0,0,4,4,6
290000,1,3,1,47,0,3637,2376,606.1666666666666,396.0,-5,-0.8333333333333334,0,0,0,0,5,1,1
250000,2,1,1,34,0,918942,39850,153157.0,6641.666666666667,2,0.3333333333333333,4,4,0,0,1,0,8
60000,2,2,1,46,0,150304,10000,25050.666666666668,1666.6666666666667,0,0.0,0,0,0,0,4,4,1
110000,2,1,2,27,0,539339,21100,89889.83333333333,3516.6666666666665,0,0.0,1,1,0,0,4,4,6
370000,1,1,2,50,0,63070,61944,10511.666666666666,10324.0,-12,-2.0,0,0,2,2,0,2,5
100000,1,2,1,27,0,310089,55906,51681.5,9317.666666666666,3,0.5,3,3,2,2,1,0,6
90000,2,2,1,35,0,472951,24652,78825.16666666667,4108.666666666667,2,0.3333333333333333,1,1,0,0,1,0,8
50000,2,2,2,22,0,171359,6795,28559.833333333332,1132.5,0,0.0,3,3,0,0,4,4,3
270000,1,2,2,37,0,180209,19000,30034.833333333332,3166.6666666666665,0,0.0,3,3,0,0,4,4,4
300000,2,1,2,30,0,11780,11846,1963.3333333333333,1974.3333333333333,-6,-1.0,0,0,0,0,5,1,0
50000,2,2,2,22,0,53787,31149,8964.5,5191.5,-1,-0.16666666666666666,0,0,0,0,4,4,3
50000,2,1,2,24,1,-11569,0,-1928.1666666666667,0.0,-9,-1.5,0,0,0,0,8,6,3
360000,1,1,2,29,0,77,77,12.833333333333334,12.833333333333334,-7,-1.1666666666666667,0,0,0,0,5,1,0
130000,1,3,1,56,1,410575,14500,68429.16666666667,2416.6666666666665,12,2.0,3,3,0,0,3,3,2
80000,1,1,2,30,0,15624,6004,2604.0,1000.6666666666666,-3,-0.5,0,0,0,0,2,9,0
50000,1,2,2,30,0,220483,6500,36747.166666666664,1083.3333333333333,5,0.8333333333333334,3,3,0,0,6,7,0
20000,2,2,2,22,0,83914,6913,13985.666666666666,1152.1666666666667,0,0.0,0,0,0,0,4,4,3
80000,2,2,1,29,0,323559,8800,53926.5,1466.6666666666667,2,0.3333333333333333,3,3,0,0,1,0,0
240000,1,1,2,37,0,118261,84191,19710.166666666668,14031.833333333334,-1,-0.16666666666666666,0,0,2,2,4,4,4
80000,2,3,2,35,0,129487,29000,21581.166666666668,4833.333333333333,-1,-0.16666666666666666,0,0,0,0,4,4,8
500000,2,1,1,47,0,579243,222550,96540.5,37091.666666666664,0,0.0,1,1,1,1,4,4,1
60000,2,2,1,24,1,222443,10837,37073.833333333336,1806.1666666666667,0,0.0,3,3,0,0,4,4,3
20000,1,2,2,25,0,50904,5353,8484.0,892.1666666666666,-1,-0.16666666666666666,0,0,0,0,4,4,3
100000,2,2,1,38,1,92351,5600,15391.833333333334,933.3333333333334,5,0.8333333333333334,0,0,0,0,6,7,4
360000,2,1,2,32,0,163546,199288,27257.666666666668,33214.666666666664,-4,-0.6666666666666666,0,0,1,1,2,9,8
200000,2,3,2,47,1,1182582,35984,197097.0,5997.333333333333,12,2.0,4,4,0,0,3,3,1
130000,2,2,1,34,0,57742,17397,9623.666666666666,2899.5,0,0.0,0,0,0,0,4,4,8
20000,2,2,2,31,0,125792,1760,20965.333333333332,293.3333333333333,19,3.1666666666666665,0,0,0,0,9,8,0
310000,1,1,2,32,0,353740,40419,58956.666666666664,6736.5,0,0.0,3,3,0,0,4,4,8
60000,2,1,2,27,1,130018,6752,21669.666666666668,1125.3333333333333,4,0.6666666666666666,0,0,0,0,1,0,6
180000,2,1,2,29,0,45854,22881,7642.333333333333,3813.5,-6,-1.0,0,0,0,0,5,1,0
180000,2,1,2,24,0,68239,38067,11373.166666666666,6344.5,-2,-0.3333333333333333,0,0,0,0,2,9,3
50000,1,2,1,36,0,84870,26511,14145.0,4418.5,-2,-0.3333333333333333,0,0,0,0,2,9,4
50000,2,1,2,24,1,228759,8132,38126.5,1355.3333333333333,11,1.8333333333333333,3,3,0,0,3,3,3
150000,2,2,1,34,0,1616,1616,269.3333333333333,269.3333333333333,-12,-2.0,0,0,0,0,0,2,8
20000,2,1,2,22,0,103511,24766,17251.833333333332,4127.666666666667,-1,-0.16666666666666666,0,0,0,0,4,4,3
500000,2,1,1,34,0,6457,21861,1076.1666666666667,3643.5,-9,-1.5,0,0,0,0,8,6,8
30000,2,3,2,22,1,117854,2903,19642.333333333332,483.8333333333333,5,0.8333333333333334,0,0,0,0,6,7,3
180000,2,1,1,38,0,750,0,125.0,0.0,-12,-2.0,0,0,0,0,0,2,4
140000,1,1,2,31,0,130872,38300,21812.0,6383.333333333333,4,0.6666666666666666,0,0,0,0,1,0,0
140000,2,1,2,26,0,64236,49839,10706.0,8306.5,-5,-0.8333333333333334,0,0,2,2,5,1,6
120000,1,2,2,26,0,688894,29152,114815.66666666667,4858.666666666667,0,0.0,1,1,0,0,4,4,6
360000,2,2,1,48,0,1202779,37500,200463.16666666666,6250.0,0,0.0,4,4,0,0,4,4,5
20000,1,3,1,43,0,98941,31538,16490.166666666668,5256.333333333333,-2,-0.3333333333333333,0,0,0,0,2,9,1
100000,1,1,1,47,0,3033,5023,505.5,837.1666666666666,-6,-1.0,0,0,0,0,5,1,1
210000,2,2,1,41,1,9657,6988,1609.5,1164.6666666666667,-6,-1.0,0,0,0,0,5,1,9
80000,2,2,2,24,1,391407,13838,65234.5,2306.3333333333335,0,0.0,3,3,0,0,4,4,3
330000,2,1,1,50,0,19462,10868,3243.6666666666665,1811.3333333333333,-8,-1.3333333333333333,0,0,0,0,8,6,5
220000,1,1,2,24,0,419979,103985,69996.5,17330.833333333332,-3,-0.5,3,3,2,2,2,9,3
210000,2,1,1,38,1,2384,11877,397.3333333333333,1979.5,-4,-0.6666666666666666,0,0,0,0,2,9,4
40000,2,3,1,43,0,215945,8404,35990.833333333336,1400.6666666666667,0,0.0,3,3,0,0,4,4,1
30000,1,2,2,39,0,103603,8493,17267.166666666668,1415.5,2,0.3333333333333333,0,0,0,0,1,0,9
470000,1,2,2,27,0,2002818,55690,333803.0,9281.666666666666,8,1.3333333333333333,2,2,2,2,6,7,6
30000,1,3,1,42,0,3510,2490,585.0,415.0,-3,-0.5,0,0,0,0,2,9,9
240000,2,2,1,36,1,-5676,0,-946.0,0.0,-9,-1.5,0,0,0,0,8,6,4
80000,1,2,2,36,0,470809,19500,78468.16666666667,3250.0,2,0.3333333333333333,1,1,0,0,1,0,4
110000,2,3,-1,31,0,453847,26954,75641.16666666667,4492.333333333333,0,0.0,3,3,0,0,4,4,0
310000,2,1,2,38,0,6092,4668,1015.3333333333334,778.0,-8,-1.3333333333333333,0,0,0,0,8,6,4
360000,2,1,1,40,1,685565,32100,114260.83333333333,5350.0,6,1.0,1,1,0,0,6,7,9
330000,2,3,2,45,0,2005418,73223,334236.3333333333,12203.833333333334,0,0.0,2,2,2,2,4,4,1
300000,2,2,2,35,0,1431315,74582,238552.5,12430.333333333334,0,0.0,4,4,2,2,4,4,8
320000,2,2,2,33,0,437268,41866,72878.0,6977.666666666667,0,0.0,3,3,2,2,4,4,8
50000,2,3,2,37,1,243968,34317,40661.333333333336,5719.5,6,1.0,3,3,0,0,6,7,4
170000,2,1,2,28,0,772102,48549,128683.66666666667,8091.5,0,0.0,1,1,2,2,4,4,6
350000,1,3,1,44,0,8384,5119,1397.3333333333333,853.1666666666666,-7,-1.1666666666666667,0,0,0,0,5,1,1
20000,1,2,1,37,0,108461,7564,18076.833333333332,1260.6666666666667,0,0.0,0,0,0,0,4,4,4
50000,1,2,2,23,1,202501,9074,33750.166666666664,1512.3333333333333,2,0.3333333333333333,3,3,0,0,1,0,3
20000,2,3,2,24,0,63912,5133,10652.0,855.5,3,0.5,0,0,0,0,1,0,3
50000,2,1,2,24,0,132930,6732,22155.0,1122.0,0,0.0,0,0,0,0,4,4,3
20000,1,2,2,23,1,94656,13200,15776.0,2200.0,5,0.8333333333333334,0,0,0,0,6,7,3
50000,1,2,1,26,0,197548,51938,32924.666666666664,8656.333333333334,-4,-0.6666666666666666,3,3,2,2,2,9,6
190000,1,2,2,34,1,828058,34887,138009.66666666666,5814.5,6,1.0,1,1,0,0,6,7,8
60000,2,2,1,33,0,175794,5935,29299.0,989.1666666666666,0,0.0,3,3,0,0,4,4,8
80000,1,1,2,35,0,41852,36293,6975.333333333333,6048.833333333333,-6,-1.0,0,0,0,0,5,1,8
150000,2,2,2,27,0,399780,12625,66630.0,2104.1666666666665,0,0.0,3,3,0,0,4,4,6
210000,2,1,2,31,0,18130,19989,3021.6666666666665,3331.5,-10,-1.6666666666666667,0,0,0,0,8,6,0
240000,2,3,1,50,1,1313227,50997,218871.16666666666,8499.5,0,0.0,4,4,2,2,4,4,5
140000,2,2,-1,41,1,115854,13597,19309.0,2266.1666666666665,0,0.0,0,0,0,0,4,4,9
60000,2,1,2,28,0,44436,2285,7406.0,380.8333333333333,0,0.0,0,0,0,0,4,4,6
50000,1,1,2,39,0,241244,12800,40207.333333333336,2133.3333333333335,0,0.0,3,3,0,0,4,4,9
50000,2,2,2,27,0,169234,7950,28205.666666666668,1325.0,0,0.0,3,3,0,0,4,4,6
180000,2,1,2,32,0,14634,5818,2439.0,969.6666666666666,0,0.0,0,0,0,0,4,4,8
30000,2,1,2,40,0,613,595,102.16666666666667,99.16666666666667,6,1.0,0,0,0,0,6,7,9
